time,frequency,confidence
0.000,627.277,0.065399
0.010,86.403,0.032773
0.020,84.147,0.068013
0.030,660.138,0.059313
0.040,633.835,0.097757
0.050,633.351,0.035191
0.060,635.209,0.028766
0.070,645.382,0.097425
0.080,82.861,0.069704
0.090,598.239,0.067810
0.100,398.014,0.030665
0.110,642.838,0.066718
0.120,657.985,0.048907
0.130,659.147,0.059196
0.140,633.579,0.067542
0.150,32.238,0.080562
0.160,32.233,0.006614
0.170,51.842,0.021565
0.180,633.107,0.039700
0.190,645.572,0.091450
0.200,656.716,0.086658
0.210,623.821,0.094579
0.220,645.071,0.090601
0.230,644.923,0.120763
0.240,645.870,0.115372
0.250,649.603,0.077183
0.260,597.910,0.071013
0.270,530.535,0.056677
0.280,445.512,0.271995
0.290,32.359,0.158342
0.300,32.525,0.311673
0.310,449.069,0.061270
0.320,1782.713,0.037845
0.330,1794.186,0.024784
0.340,1156.637,0.028562
0.350,235.283,0.382311
0.360,224.871,0.478769
0.370,228.027,0.642621
0.380,228.087,0.810499
0.390,228.918,0.884803
0.400,229.577,0.876252
0.410,229.854,0.873361
0.420,230.183,0.887753
0.430,230.484,0.912539
0.440,230.987,0.919489
0.450,231.794,0.916494
0.460,232.795,0.923870
0.470,234.093,0.943484
0.480,235.235,0.900959
0.490,236.416,0.939334
0.500,236.809,0.942330
0.510,236.893,0.936612
0.520,236.487,0.937065
0.530,236.180,0.938688
0.540,235.873,0.929055
0.550,235.549,0.913180
0.560,235.129,0.905081
0.570,234.192,0.929065
0.580,232.480,0.872865
0.590,230.501,0.807305
0.600,226.705,0.693025
0.610,219.957,0.552824
0.620,211.943,0.467641
0.630,205.830,0.572347
0.640,205.861,0.227032
0.650,201.381,0.023599
0.660,965.581,0.037593
0.670,1910.499,0.067176
0.680,1904.501,0.110059
0.690,1902.203,0.091500
0.700,541.434,0.072380
0.710,538.101,0.144214
0.720,540.614,0.035476
0.730,663.084,0.014594
0.740,658.631,0.044938
0.750,582.603,0.255059
0.760,587.672,0.126288
0.770,1842.543,0.062214
0.780,1866.390,0.037499
0.790,635.593,0.043852
0.800,590.331,0.120383
0.810,645.246,0.133197
0.820,657.265,0.087570
0.830,660.812,0.087696
0.840,1074.821,0.051002
0.850,118.035,0.137694
0.860,132.300,0.151169
0.870,133.021,0.131101
0.880,133.627,0.141799
0.890,139.987,0.081229
0.900,140.438,0.075894
0.910,1178.310,0.094872
0.920,32.300,0.108959
0.930,221.910,0.154957
0.940,200.181,0.384468
0.950,200.305,0.583732
0.960,200.051,0.744928
0.970,198.899,0.833919
0.980,196.844,0.892878
0.990,194.312,0.907537
1.000,191.282,0.813252
1.010,187.725,0.864776
1.020,184.995,0.904663
1.030,183.394,0.940097
1.040,182.896,0.933124
1.050,183.092,0.946845
1.060,183.286,0.949295
1.070,183.316,0.951088
1.080,183.100,0.944329
1.090,182.380,0.919618
1.100,181.345,0.942320
1.110,179.972,0.919086
1.120,178.255,0.892170
1.130,176.994,0.781314
1.140,175.147,0.510197
1.150,166.279,0.368000
1.160,159.677,0.292128
1.170,155.809,0.059658
1.180,145.320,0.040750
1.190,596.394,0.024259
1.200,659.970,0.037699
1.210,660.243,0.040762
1.220,647.518,0.064978
1.230,647.912,0.117471
1.240,651.548,0.067166
1.250,964.545,0.019456
1.260,977.696,0.026197
1.270,1968.779,0.040088
1.280,1963.959,0.030003
1.290,968.317,0.054289
1.300,222.332,0.236362
1.310,219.797,0.515558
1.320,189.258,0.271043
1.330,185.394,0.523349
1.340,181.672,0.735329
1.350,179.261,0.829359
1.360,176.703,0.866169
1.370,174.162,0.865511
1.380,170.692,0.862949
1.390,167.717,0.932629
1.400,166.159,0.939945
1.410,164.977,0.958340
1.420,163.899,0.952038
1.430,162.566,0.914394
1.440,161.959,0.940914
1.450,162.933,0.945840
1.460,164.102,0.952814
1.470,165.427,0.960368
1.480,165.812,0.957526
1.490,165.383,0.960944
1.500,165.464,0.956532
1.510,166.413,0.920265
1.520,168.253,0.896820
1.530,170.400,0.883929
1.540,171.645,0.918608
1.550,171.641,0.887902
1.560,170.180,0.795089
1.570,167.711,0.741518
1.580,165.358,0.704029
1.590,163.591,0.465517
1.600,162.465,0.116008
1.610,811.801,0.012410
1.620,33.947,0.024657
1.630,721.164,0.083557
1.640,585.419,0.216289
1.650,585.470,0.364676
1.660,588.275,0.276498
1.670,594.644,0.195456
1.680,583.527,0.155205
1.690,580.150,0.108359
1.700,584.891,0.146929
1.710,646.864,0.134453
1.720,651.222,0.124957
1.730,596.082,0.095180
1.740,657.717,0.100742
1.750,661.709,0.087371
1.760,659.057,0.084766
1.770,661.476,0.067568
1.780,652.217,0.123060
1.790,641.504,0.119552
1.800,595.955,0.111776
1.810,649.548,0.075253
1.820,655.906,0.090244
1.830,626.042,0.110422
1.840,657.268,0.125392
1.850,651.898,0.126190
1.860,646.066,0.132123
1.870,645.747,0.092954
1.880,649.445,0.069337
1.890,656.646,0.091436
1.900,634.566,0.118169
1.910,647.562,0.122091
1.920,657.677,0.149047
1.930,657.011,0.114526
1.940,81.497,0.121846
1.950,77.621,0.104674
1.960,37.079,0.108081
1.970,94.229,0.031151
1.980,93.542,0.070680
1.990,633.360,0.107969
2.000,651.443,0.122021
2.010,650.440,0.101334
2.020,650.991,0.097486
2.030,603.246,0.083000
2.040,658.927,0.069918
2.050,81.731,0.048790
